村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
金門縣烈嶼鄉上岐村,-287,145,432,1390,4482,0.3,洪天南,無
金門縣烈嶼鄉上林村,-300,79,379,938,3062,0.3,林建進,無
金門縣烈嶼鄉林湖村,-312,123,435,1101,3348,0.3,羅天升,無
金門縣烈嶼鄉西口村,-123,112,235,1208,4013,0.3,孫先雄,無
金門縣烈嶼鄉黃埔村,-306,112,418,1075,3308,0.3,洪安慶,無
金門縣烏坵鄉大坵村,-75,7,82,75,284,0.3,陳淑珠,無
金門縣烏坵鄉小坵村,-96,10,106,115,569,0.2,莊金蓮,無
金門縣金城鎮北門里,-240,232,472,1515,4062,0.4,許績才,中國國民黨
金門縣金城鎮南門里,61,420,359,2543,6613,0.4,楊耀芸,無
金門縣金城鎮古城里,-10,272,282,1871,5415,0.3,董倫智,無
金門縣金城鎮東門里,54,436,382,2386,6085,0.4,周偉義,無
金門縣金城鎮珠沙里,-208,236,444,1517,4301,0.4,戴德強,中國國民黨
金門縣金城鎮西門里,448,728,280,4175,10782,0.4,許程勛,無
金門縣金城鎮賢庵里,-39,429,468,2277,6256,0.4,顏士強,無
金門縣金城鎮金水里,-175,171,346,1300,3583,0.4,黃延良,中國國民黨
金門縣金寧鄉古寧村,-272,197,469,1534,4875,0.3,李開陣,中國國民黨
金門縣金寧鄉后盤村,-486,122,608,1129,3252,0.3,許明吉,中國國民黨
金門縣金寧鄉安美村,-2,333,335,2043,5707,0.4,許三進,中國國民黨
金門縣金寧鄉榜林村,-77,448,525,2499,6933,0.4,楊龍傳,中國國民黨
金門縣金寧鄉湖埔村,358,915,557,3700,9181,0.4,楊振嵩,中國國民黨
金門縣金寧鄉盤山村,396,751,355,3090,8104,0.4,翁品洋,中國國民黨
金門縣金沙鎮三山里,-128,103,231,991,2927,0.3,陳賜發,中國國民黨
金門縣金沙鎮何斗里,-138,140,278,1018,3053,0.3,陳福林,中國國民黨
金門縣金沙鎮光前里,-1,204,205,1185,3346,0.4,陳文傑,無
金門縣金沙鎮大洋里,-196,91,287,767,2169,0.4,吳嘉翔,無
金門縣金沙鎮官嶼里,-142,122,264,1019,3220,0.3,楊恭勤,中國國民黨
金門縣金沙鎮汶沙里,-282,295,577,1858,5143,0.4,張瀚龍,無
金門縣金沙鎮浦山里,-131,133,264,1163,3376,0.3,周家才,中國國民黨
金門縣金沙鎮西園里,-203,69,272,790,2579,0.3,黃添丁,無
金門縣金湖鎮山外里,-20,334,354,1959,4956,0.4,陳晚開,中國國民黨
金門縣金湖鎮料羅里,-38,221,259,1515,3812,0.4,謝慶閣,中國國民黨
金門縣金湖鎮新市里,-222,250,472,1747,4235,0.4,吳孟霖,無
金門縣金湖鎮新湖里,450,795,345,3826,9617,0.4,陳錦章,中國國民黨
金門縣金湖鎮正義里,-33,245,278,1620,4271,0.4,陳偃武,無
金門縣金湖鎮溪湖里,-445,101,546,1144,3179,0.4,黃建忠,無
金門縣金湖鎮瓊林里,-77,292,369,1912,4888,0.4,蔡懷芝,無
金門縣金湖鎮蓮庵里,-251,122,373,1264,3304,0.4,呂永林,中國國民黨
