村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
宜蘭縣三星鄉人和村,-131,42,173,311,453,0.7,廖熖,無
宜蘭縣三星鄉員山村,-101,19,120,139,199,0.7,林進興,無
宜蘭縣三星鄉大洲村,-456,226,682,1194,1574,0.8,陳信仁,無
宜蘭縣三星鄉大義村,-279,176,455,919,1256,0.7,鄭坤宗,無
宜蘭縣三星鄉大隱村,-918,598,1516,2998,4307,0.7,游茂山,無
宜蘭縣三星鄉天山村,-242,42,284,281,445,0.6,鄭玉寅,無
宜蘭縣三星鄉天福村,-254,90,344,464,687,0.7,羅慶文,無
宜蘭縣三星鄉尚武村,-205,90,295,562,786,0.7,黃麗玲,無
宜蘭縣三星鄉尾塹村,-543,232,775,1084,1496,0.7,羅文吉,無
宜蘭縣三星鄉拱照村,-249,115,364,720,1345,0.5,項小芬,無
宜蘭縣三星鄉月眉村,-246,126,372,586,827,0.7,王全龍,無
宜蘭縣三星鄉義德村,-372,123,495,705,1118,0.6,陳清泉,無
宜蘭縣三星鄉萬富村,-200,104,304,519,718,0.7,羅惠恩,無
宜蘭縣三星鄉萬德村,-266,69,335,388,576,0.7,陳長森,無
宜蘭縣三星鄉行健村,-428,112,540,644,890,0.7,張文章,無
宜蘭縣三星鄉貴林村,-198,68,266,306,504,0.6,張浩增,無
宜蘭縣三星鄉集慶村,-443,130,573,752,1110,0.7,彭正賢,無
宜蘭縣三星鄉雙賢村,-117,59,176,418,594,0.7,李鑫鎔,無
宜蘭縣五結鄉三興村,-287,370,657,1539,2130,0.7,李俊達,無
宜蘭縣五結鄉上四村,-593,283,876,1165,1609,0.7,林祥旺,無
宜蘭縣五結鄉中興村,-497,209,706,913,1355,0.7,吳正騫,無
宜蘭縣五結鄉二結村,-666,336,1002,1418,1906,0.7,陳長泉,無
宜蘭縣五結鄉五結村,-1279,594,1873,2576,3669,0.7,黃文宏,無
宜蘭縣五結鄉利澤村,-443,263,706,1265,1870,0.7,林何良,無
宜蘭縣五結鄉協和村,-975,536,1511,2291,3260,0.7,黃鐙山,無
宜蘭縣五結鄉四結村,-137,418,555,1879,2549,0.7,李育堅,無
宜蘭縣五結鄉大吉村,-1097,609,1706,2690,3751,0.7,林建祥,無
宜蘭縣五結鄉孝威村,-437,256,693,1167,1630,0.7,曾秋萍,無
宜蘭縣五結鄉季新村,-291,375,666,1851,2706,0.7,林敏雄,無
宜蘭縣五結鄉成興村,-404,596,1000,2317,3349,0.7,翁木川,無
宜蘭縣五結鄉福興村,-699,281,980,1280,1762,0.7,陳彩雲,無
宜蘭縣五結鄉錦眾村,-229,166,395,987,1378,0.7,劉德明,無
宜蘭縣五結鄉鎮安村,-410,483,893,1961,2661,0.7,張朝松,民主進步黨
宜蘭縣冬山鄉三奇村,-311,162,473,647,908,0.7,戴旺傳,無
宜蘭縣冬山鄉中山村,-203,61,264,347,444,0.8,廖月蕙,無
宜蘭縣冬山鄉丸山村,-536,197,733,990,1455,0.7,江清鴻,無
宜蘭縣冬山鄉八寶村,-297,136,433,625,868,0.7,康素真,無
宜蘭縣冬山鄉冬山村,-214,99,313,500,646,0.8,林松輝,無
宜蘭縣冬山鄉南興村,-412,546,958,2204,3019,0.7,賴雲坤,無
宜蘭縣冬山鄉大興村,-230,117,347,599,855,0.7,劉麗雪,無
宜蘭縣冬山鄉大進村,-189,95,284,548,743,0.7,張進益,無
宜蘭縣冬山鄉太和村,-680,230,910,1118,1491,0.7,游興昌,無
宜蘭縣冬山鄉安平村,-309,92,401,461,669,0.7,謝德旺,無
宜蘭縣冬山鄉廣安村,-286,284,570,1259,1691,0.7,呂榮裕,無
宜蘭縣冬山鄉廣興村,-261,375,636,1759,2475,0.7,曾智忠,無
宜蘭縣冬山鄉得安村,-129,144,273,709,1044,0.7,陳世英,無
宜蘭縣冬山鄉東城村,-274,204,478,975,1357,0.7,王樹連,無
宜蘭縣冬山鄉柯林村,-669,316,985,1328,1787,0.7,林明義,無
宜蘭縣冬山鄉武淵村,-280,216,496,973,1300,0.7,林福基,無
宜蘭縣冬山鄉永美村,-422,547,969,2338,3185,0.7,詹素華,無
宜蘭縣冬山鄉清溝村,-488,608,1096,2820,3754,0.8,林興家,無
宜蘭縣冬山鄉珍珠村,-698,236,934,1189,1570,0.8,林自強,無
宜蘭縣冬山鄉群英村,-479,735,1214,3283,4499,0.7,廖政國,無
宜蘭縣冬山鄉補城村,-332,194,526,840,1140,0.7,賴文農,無
宜蘭縣冬山鄉順安村,-947,750,1697,3402,4819,0.7,林正欽,無
宜蘭縣冬山鄉香和村,-454,522,976,2110,2916,0.7,劉金獅,無
宜蘭縣冬山鄉鹿埔村,-1050,389,1439,1811,2540,0.7,江清祥,無
宜蘭縣南澳鄉南澳村,-355,106,461,741,1158,0.6,松亜倫,中國國民黨
宜蘭縣南澳鄉東岳村,-209,47,256,310,449,0.7,黃誠福,中國國民黨
宜蘭縣南澳鄉武塔村,-248,34,282,302,438,0.7,曹約伯,中國國民黨
宜蘭縣南澳鄉澳花村,-303,34,337,474,712,0.7,黃聰明,中國國民黨
宜蘭縣南澳鄉碧候村,-365,75,440,620,950,0.7,王建國,中國國民黨
宜蘭縣南澳鄉金岳村,-103,26,129,219,398,0.6,夏政財,中國國民黨
宜蘭縣南澳鄉金洋村,-158,43,201,297,475,0.6,范守臣,中國國民黨
宜蘭縣員山鄉七賢村,-273,292,565,1122,1504,0.7,林主義,無
宜蘭縣員山鄉中華村,-260,47,307,379,570,0.7,陳明華,無
宜蘭縣員山鄉內城村,-243,204,447,947,1403,0.7,朱火金,無
宜蘭縣員山鄉同樂村,-752,332,1084,1646,2381,0.7,張正昌,無
宜蘭縣員山鄉員山村,-686,967,1653,4191,5903,0.7,鄭惠正,無
宜蘭縣員山鄉尚德村,-445,342,787,1558,2196,0.7,黃境堂,無
宜蘭縣員山鄉惠好村,-299,278,577,1286,1702,0.8,吳崇溢,無
宜蘭縣員山鄉枕山村,-531,320,851,1594,2220,0.7,莊新隆,無
宜蘭縣員山鄉永和村,-633,244,877,1225,1764,0.7,陳志豊,無
宜蘭縣員山鄉深溝村,-602,348,950,1475,2011,0.7,謝易達,無
宜蘭縣員山鄉湖北村,-261,104,365,654,939,0.7,陳永枝,無
宜蘭縣員山鄉湖東村,-405,108,513,586,842,0.7,鄭金釧,無
宜蘭縣員山鄉湖西村,-620,133,753,867,1274,0.7,張明昌,無
宜蘭縣員山鄉蓁巷村,-415,191,606,855,1232,0.7,陳清全,無
宜蘭縣員山鄉逸仙村,-266,125,391,639,883,0.7,廖文杰,無
宜蘭縣員山鄉頭分村,-144,217,361,933,1275,0.7,林添福,無
宜蘭縣壯圍鄉功勞村,-248,199,447,909,1249,0.7,林金虎,無
宜蘭縣壯圍鄉古亭村,-474,236,710,1085,1569,0.7,鄭文展,無
宜蘭縣壯圍鄉古結村,-217,207,424,834,1138,0.7,賴建國,無
宜蘭縣壯圍鄉吉祥村,-636,470,1106,1925,2638,0.7,陳長壬,無
宜蘭縣壯圍鄉大福村,-808,210,1018,1070,1673,0.6,陳榮華,無
宜蘭縣壯圍鄉復興村,-612,214,826,1109,1588,0.7,陳秀英,無
宜蘭縣壯圍鄉忠孝村,-940,327,1267,1641,2332,0.7,莊朝明,無
宜蘭縣壯圍鄉新南村,-231,135,366,633,897,0.7,葉慶文,台灣民眾黨
宜蘭縣壯圍鄉新社村,-340,132,472,708,1039,0.7,莊阿日,無
宜蘭縣壯圍鄉東港村,-265,105,370,596,940,0.6,林玉華,無
宜蘭縣壯圍鄉永鎮村,-226,101,327,540,773,0.7,呂文章,無
宜蘭縣壯圍鄉美城村,-417,396,813,1656,2268,0.7,吳橜達,無
宜蘭縣壯圍鄉美福村,-708,286,994,1347,1910,0.7,陳天來,無
宜蘭縣壯圍鄉過嶺村,-739,165,904,928,1414,0.7,李春田,無
宜蘭縣大同鄉南山村,-259,71,330,404,634,0.6,潘文光,無
宜蘭縣大同鄉四季村,-325,70,395,492,753,0.7,黃金榮,無
宜蘭縣大同鄉太平村,-24,4,28,31,47,0.7,李銘宜,無
